;KK;KN;KP;NK;NN;NP;PK;PN;PP
KK;1/11;1/11;1/11;1/11;1/11;1/11;2/11;2/11;1/11
KN;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9
KP;3/11;1/11;1/11;1/11;1/11;1/11;1/11;1/11;1/11
NK;1/10;1/10;1/10;1/10;2/10;1/10;1/10;1/10;1/10
NN;1/10;1/10;2/10;1/10;1/10;1/10;1/10;1/10;1/10
NP;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9
PK;1/10;1/10;2/10;1/10;1/10;1/10;1/10;1/10;1/10
PN;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9
PP;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9;1/9
